DIST_EN,cases,population
"Taplejung",
"Panchthar",
"Ilam",
"Jhapa",
"Morang",
"Sunsari",
"Dhankutta",
"Terhathum",
"Sankhuwasabha",
"Bhojpur",
"Solukhumbu",
"Okhaldhunga",
"Khotang",
"Udayapur",
"Saptari",
"Siraha",
"Dhanusa",
"Mahottari",
"Sarlahi",
"Rautahat",
"Bara",
"Parsa",
"Sindhuli",
"Ramechhap",
"Dolkha",
"Sindhupalchok",
"Kavrepalanchok",
"Lalitpur",
"Bhaktapur",
"Kathmandu",
"Nuwakot",
"Rasuwa",
"Dhading",
"Makwanpur",
"Chitwan",
"Gorkha",
"Lamjung",
"Tanahun",
"Nawalpur",
"Syangja",
"Kaski",
"Manang",
"Mustang",
"Myagdi",
"Parwat",
"Baglung",
"Rukum East",
"Rolpa",
"Pyuthan",
"Gulmi",
"Palpa",
"Parasi",
"Rupandehi",
"Kapilvastu",
"Arghakhanchi",
"Dang",
"Banke",
"Bardiya",
"Rukum West",
"Salyan",
"Surkhet",
"Dailekh",
"Jajarkot",
"Dolpa",
"Jumla",
"Kalikot",
"Mugu",
"Humla",
"Bajura",
"Bajhang",
"Achham",
"Doti",
"Kailali",
"Kanchanpur",
"Dadeldhura",
"Baitadi",
"Darchula",